track_name,track_artist,track_popularity,track_album_release_date,danceability,energy,acousticness,liveness
Real Slow,Miami Horror,26,7/4/15,0.618,0.841,0.107,0.242
Slide (feat. Frank Ocean & Migos),Calvin Harris,74,24/2/17,0.736,0.795,0.498,0.254
The Lost Boy (feat. Skizzy Mars),Lostboycrow,23,15/1/16,0.721,0.567,0.378,0.349
Recognize (feat. Ashe),Win and Woo,37,1/9/16,0.628,0.681,0.00305,0.675
Wake Up - Sondr Remix,Chelsea Cutler,23,7/10/16,0.697,0.794,0.0724,0.0353
You Found Me,The Fray,74,30/1/09,0.338,0.803,0.0187,0.136
Good Nights (feat. Mascolo),Whethan,53,27/6/17,0.849,0.483,0.443,0.0786
Electric (feat. Khalid),Alina Baraz,5,20/1/17,0.637,0.359,0.593,0.108
Where I Wanna Be,A R I Z O N A,54,19/5/17,0.68,0.798,0.0929,0.0746
Cameras,Matt and Kim,45,2/11/10,0.549,0.882,0.0825,0.372
Overexposed,Matt and Kim,32,2/10/12,0.619,0.835,0.00101,0.318
Thursday,Lostboycrow,10,12/5/16,0.655,0.715,0.145,0.357
Slow Mo - Felix Palmqvist Remix,The Spacies,0,25/10/16,0.513,0.799,0.387,0.109
The Things You Do,Griffin Stoller,40,23/1/17,0.684,0.631,0.306,0.103
Unforgettable,French Montana,14,2017,0.726,0.769,0.0293,0.104
Coloring Outside The Lines,MisterWives,54,19/5/17,0.655,0.823,0.0196,0.546
Gotta Push On,GRiZ,45,23/9/16,0.554,0.528,0.00664,0.211
Wicked,GRiZ,42,23/9/16,0.474,0.749,0.00645,0.0642
Purple Eyes (feat. Phoebe Ryan),The Knocks,35,4/3/16,0.603,0.725,0.0571,0.216
Get Down,GRiZ,38,31/3/15,0.708,0.887,0.00167,0.129
I'm OK (feat. Shaylen),Manila Killa,43,28/4/17,0.665,0.595,0.227,0.217
Palace - Justin Caruso Remix,Hayley Kiyoko,32,17/2/17,0.54,0.916,0.0221,0.18
The Coast (feat. Jvzel),Far East Movement,40,22/7/16,0.543,0.78,0.0124,0.171
Awake,ayokay,43,7/10/16,0.422,0.644,0.253,0.0823
Strong,Dropout,30,11/6/16,0.571,0.778,0.37,0.143
Show Me The Way,Penguin Prison,43,1/5/15,0.772,0.687,0.122,0.14
Loud Places (feat. Romy),Jamie xx,57,2/6/15,0.646,0.625,0.00432,0.119
Faded - ODESZA Remix,ZHU,54,15/9/14,0.746,0.67,0.0408,0.133
Get What You Give,Felix Cartal,0,9/6/17,0.619,0.767,0.0155,0.12
Get Free,Major Lazer,2,16/4/13,0.612,0.657,0.103,0.131
Passenger Side - Grizfolk Remix,Smallpools,22,22/9/17,0.588,0.829,0.113,0.0821
Do Ya?,NVDES,17,20/7/17,0.642,0.758,0.134,0.272
Swimming In The Flood,Passion Pit,43,2009,0.553,0.763,0.00375,0.676
Sweet Disposition,The Temper Trap,64,24/3/09,0.531,0.821,0.0701,0.124
Wolves,Digitalism,41,6/5/14,0.607,0.763,0.00826,0.218
Gold (feat. Yuna),Adventure Club,1,22/10/13,0.479,0.675,0.0319,0.128
Fever,RAC,31,13/7/17,0.485,0.659,0.148,0.171
Closer - Speaker of the House Remix,Elephante,0,14/12/16,0.696,0.784,0.216,0.417
Vibes,Griffin Stoller,42,14/6/17,0.619,0.761,0.369,0.0808
Everybody's Gotta Live,Gigamesh,0,21/10/16,0.624,0.761,0.692,0.0942
Million Bucks - Violet Days Remix,Smallpools,26,27/10/17,0.636,0.608,0.0072,0.108
tbh ily (Kidswaste Remix),Chet Porter,0,14/4/16,0.653,0.684,0.496,0.366
Handful Of Gold,CAZZETTE,32,14/4/17,0.643,0.639,0.0477,0.15
Mother - 8 Mix,Smallpools,47,17/11/17,0.576,0.75,0.00665,0.0661
$Dreams,Max Frost,43,25/9/15,0.8,0.626,0.0194,0.103
Do You Wanna Get High,Bad Feelings,20,25/5/16,0.546,0.591,0.0616,0.275
Violence,TENDER,34,20/9/16,0.521,0.47,0.21,0.218
Outside,TENDER,48,3/8/16,0.577,0.52,0.172,0.098
Nadir,TENDER,48,1/9/17,0.389,0.757,0.0349,0.0861
Afternoon,TENDER,43,4/1/16,0.64,0.498,0.0502,0.227
Handmade Ego,TENDER,22,26/9/18,0.638,0.754,0.133,0.48
Burden,TENDER,28,12/2/16,0.507,0.535,0.0264,0.162
Belong,TENDER,35,13/9/15,0.353,0.316,0.403,0.323
Cut,TENDER,29,12/2/16,0.601,0.503,0.377,0.096
Lower,TENDER,26,31/5/19,0.65,0.493,0.622,0.119
Illuminate,TENDER,32,1/9/17,0.302,0.535,0.635,0.112
Tainted,TENDER,25,18/1/19,0.665,0.554,0.552,0.105
Smoke,TENDER,37,4/11/16,0.47,0.47,0.268,0.0931
Volatile,TENDER,34,12/2/16,0.538,0.567,0.221,0.124
Vow,TENDER,39,1/9/17,0.683,0.388,0.304,0.089
Crawl,TENDER,25,1/9/17,0.516,0.56,0.097,0.0889
Stay The Night,Claptone,43,8/6/18,0.722,0.595,0.0662,0.197
Know You Better,LEISURE,2,21/10/16,0.747,0.537,0.0774,0.0968
All over You,LEISURE,2,21/10/16,0.763,0.355,0.162,0.092
Money,LEISURE,8,8/9/17,0.815,0.479,0.0214,0.0723
Her,Her,1,15/1/16,0.708,0.456,0.84,0.159
Last Dance,Rhye,2,1/1/13,0.783,0.415,0.484,0.246
Open,Rhye,64,1/1/13,0.551,0.324,0.896,0.277
Song For You,Rhye,60,2/2/18,0.844,0.362,0.568,0.109
Blood Knows,Rhye,41,2/2/18,0.605,0.45,0.861,0.0857
Taste,Rhye,58,2/2/18,0.768,0.429,0.875,0.115
The Fall,Rhye,6,1/1/13,0.652,0.621,0.342,0.177
Count To Five,Rhye,1,2/2/18,0.808,0.34,0.619,0.11
3 Days,Rhye,57,1/1/13,0.853,0.474,0.828,0.306
Prettiest Virgin (Radio Edit),Agar Agar,57,22/4/16,0.946,0.493,0.162,0.0875
You're High,Agar Agar,56,8/2/17,0.613,0.634,0.0173,0.118
Sorry About the Carpet,Agar Agar,45,28/9/18,0.728,0.388,0.0221,0.0932
I'm That Guy,Agar Agar,56,28/9/16,0.626,0.389,0.174,0.102
Mortel,Fishbach,33,2/2/18,0.597,0.626,0.00175,0.0689
Un autre que moi,Fishbach,29,2/2/18,0.76,0.634,0.0262,0.0585
Y crois-tu,Fishbach,31,27/1/17,0.561,0.64,0.127,0.163
bad guy,Billie Eilish,95,29/3/19,0.701,0.425,0.328,0.1
everything i wanted,Billie Eilish,97,13/11/19,0.704,0.225,0.902,0.106
bury a friend,Billie Eilish,87,29/3/19,0.905,0.389,0.74,0.106
you should see me in a crown,Billie Eilish,84,29/3/19,0.678,0.533,0.462,0.139
all the good girls go to hell,Billie Eilish,86,29/3/19,0.726,0.444,0.283,0.177
You'd Gotta Be Alive,St Francis Hotel,0,2/12/16,0.573,0.591,0.0128,0.116
Too Much,Pale,39,12/3/13,0.891,0.358,0.158,0.0828
You Are the Right One,Sports,57,24/7/15,0.66,0.591,0.16,0.632
Stones,Emmit Fenn,43,21/6/17,0.685,0.364,0.751,0.19
Easy,Son Lux,59,29/10/13,0.602,0.304,0.345,0.0969
Photomaton,Jabberwocky,3,1/1/14,0.768,0.568,0.655,0.0906
With You,Beasts With No Name,28,6/6/16,0.588,0.742,0.318,0.118
American Funeral,Alex Da Kid,0,24/2/17,0.551,0.528,0.765,0.15
Somewhere Tonight,Beach House,33,16/10/15,0.135,0.312,0.452,0.175
Chainsmoking,Jacob Banks,3,20/4/17,0.395,0.665,0.557,0.117
Firefight,Tommy,26,27/2/16,0.858,0.368,0.241,0.0628
Nightcall,Kavinsky,58,1/1/13,0.509,0.856,0.00895,0.424
sickly sweet,iiola,31,6/7/18,0.394,0.331,0.29,0.109
You're so Cold,Two Feet,2,29/7/16,0.894,0.334,0.156,0.105
Had Some Drinks,Two Feet,4,19/5/17,0.825,0.304,0.14,0.147
Love Is a Bitch,Two Feet,5,19/5/17,0.532,0.178,0.614,0.0985
Her Life,Two Feet,5,29/7/16,0.74,0.415,0.288,0.103
Go Fuck Yourself,Two Feet,13,29/7/16,0.765,0.327,0.571,0.0787
Quick Musical Doodles,Two Feet,8,29/7/16,0.688,0.349,0.241,0.374
When Your Heart Is A Stranger,Friends In Paris,45,24/3/17,0.554,0.458,0.346,0.0947
Nothing's Gonna Hurt You Baby,Cigarettes After Sex,3,21/7/12,0.498,0.331,0.27,0.107
Each Time You Fall in Love,Cigarettes After Sex,38,16/5/17,0.383,0.534,0.468,0.14
Affection,Cigarettes After Sex,61,2015,0.408,0.415,0.503,0.105
Devil Devil,MILCK,52,11/1/16,0.539,0.389,0.164,0.105
Sweet Dreams,BØRNS,0,12/1/18,0.623,0.548,0.0378,0.115
Painting Greys,Emmit Fenn,52,12/11/15,0.828,0.221,0.459,0.0891
Into The Black,Chromatics,56,26/3/12,0.614,0.383,0.961,0.079
Howling,RY X,5,6/5/16,0.712,0.327,0.162,0.109
All Your Yeahs,Beach House,35,16/10/15,0.601,0.512,0.776,0.0919
Black Mambo,Glass Animals,61,3/6/14,0.675,0.409,0.294,0.119
Porcelain,Skott,42,27/7/16,0.611,0.556,0.399,0.122
Slip,Elliot Moss,55,6/7/15,0.716,0.275,0.754,0.147
Jungle,Tash Sultana,7,6/9/16,0.592,0.701,0.276,0.0882
Paper Trails,DARKSIDE,54,4/10/13,0.948,0.419,0.779,0.121
The Moth & The Flame,Les Deux Love Orchestra,39,1/1/08,0.706,0.3,0.699,0.108
A1,DARKSIDE,49,17/11/11,0.718,0.287,0.489,0.0995
How Many Times,Elderbrook,12,25/6/15,0.709,0.359,0.354,0.078
I Dare You,The xx,63,13/1/17,0.752,0.543,0.623,0.107
Birdsong,Claptone,44,8/6/18,0.626,0.546,0.0207,0.0769
A Waiting Game,Claptone,34,8/6/18,0.431,0.482,0.0985,0.238
Alone,Claptone,46,8/6/18,0.733,0.616,0.656,0.122
take you home,slenderbodies,0,20/7/18,0.775,0.541,0.165,0.0929
Shape of You,EZA,2,19/5/17,0.596,0.39,0.596,0.487
Too Much,Tora,1,9/6/17,0.728,0.489,0.574,0.102
Want It,Emmit Fenn,38,21/6/17,0.706,0.319,0.54,0.133
Got It Bad,LEISURE,10,21/10/16,0.793,0.468,0.00839,0.0689
Easier,Mansionair,5,17/10/16,0.449,0.511,0.198,0.0759
Youth,Glass Animals,2,18/7/16,0.648,0.733,0.108,0.113
No Devotion,TENDER,23,26/9/18,0.716,0.538,0.00224,0.0847
Stop,Justice,44,18/11/16,0.525,0.634,0.075,0.113
I Feel Like I'm Drowning,Two Feet,8,10/11/17,0.715,0.564,0.676,0.0854
PPP,Beach House,47,28/8/15,0.488,0.463,0.383,0.0574
Thirsty,Geoffroy,39,10/3/17,0.656,0.413,0.728,0.118
lucid,slenderbodies,40,8/11/17,0.716,0.536,0.847,0.439
Life Itself,Glass Animals,63,26/8/16,0.699,0.67,0.0147,0.356
The Sinner,Isaac Delusion,49,7/4/17,0.382,0.657,0.11,0.103
Good Love,Zola Blood,2,26/5/17,0.666,0.574,0.312,0.111
Closer Still,TENDER,28,31/10/18,0.713,0.824,0.0909,0.318
Slip,Elliot Moss,56,28/4/15,0.716,0.275,0.754,0.147
Hyde,Astrid S,32,23/10/15,0.689,0.404,0.238,0.618
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,17,24/7/15,0.673,0.79,0.037,0.0875
Need You Now,Lady Antebellum,15,1/1/10,0.588,0.724,0.0348,0.239
Wait For Life,Emile Haynie,0,24/2/15,0.178,0.478,0.954,0.125
Headlights,The White Raven,20,2/6/14,0.546,0.421,0.541,0.216
"i hate u, i love u (feat. olivia o'brien)",gnash,4,17/2/16,0.5,0.268,0.727,0.104
Coffee,Sylvan Esso,0,1/1/14,0.45,0.461,0.345,0.0872
Catch & Release - Deepend Remix,Matt Simons,11,18/9/15,0.833,0.55,0.488,0.109
Mad World,Michael Andrews,2,2/4/02,0.353,0.0811,0.966,0.104
Fake Plastic Trees,Radiohead,3,28/3/95,0.454,0.229,0.167,0.202
Savages,MARINA,53,13/3/15,0.759,0.76,0.0804,0.0818
Sirens,Fleurie,47,1/1/16,0.255,0.479,0.416,0.103
Burn the Witch,Radiohead,45,3/5/16,0.541,0.847,0.303,0.109
Get Away,Paperwhite,18,10/5/16,0.585,0.845,0.0145,0.11
Unstoppable,Paperwhite,17,10/5/16,0.697,0.681,0.0385,0.152
On My Own,Paperwhite,19,10/5/16,0.61,0.899,0.00493,0.168
Wanderlust,Paperwhite,27,10/5/16,0.445,0.893,0.00143,0.184
Nothing Gold Can Stay,Clarens,11,27/5/16,0.675,0.693,0.189,0.0754
Mad World (Feat. Michael Andrews),Gary Jules,70,1/1/02,0.345,0.0581,0.976,0.103
Dying for You (feat. Alex Aris),Otto Knows,57,15/1/16,0.686,0.582,0.489,0.082
At Night (I Think About You),MNEK,0,13/5/16,0.552,0.879,0.0152,0.082
I'm Yours,Jason Mraz,82,12/5/08,0.686,0.457,0.595,0.105
Not Fair,Lily Allen,57,16/11/09,0.719,0.861,0.0447,0.219
I Follow Rivers,Lykke Li,42,2008,0.599,0.533,0.475,0.235
Be As You Are - Acoustic,Mike Posner,12,19/8/16,0.653,0.328,0.815,0.114
Bring Me Your Love (feat. THEA),Giraffage,0,15/8/16,0.676,0.587,0.422,0.0764
Atlantis (feat. Kaiydo),Bridgit Mendler,1,26/8/16,0.697,0.592,0.104,0.421
High And Dry,Radiohead,0,8/1/14,0.418,0.383,0.0718,0.0896
Silvertongue,Young the Giant,23,5/8/16,0.673,0.789,0.00975,0.752
Paris 12,Linying,0,30/9/16,0.264,0.205,0.922,0.0851
Sticky Leaves,Linying,0,30/9/16,0.43,0.537,0.928,0.084
drugs,EDEN,1,19/8/16,0.461,0.448,0.607,0.288
Miss You,James Hersey,1,19/8/16,0.871,0.595,0.0929,0.107
Speak Easy,Mansionair,3,2/10/15,0.496,0.85,0.36,0.139
Gemini Feed,BANKS,1,2/8/16,0.768,0.649,0.188,0.14
Easy Ride,Natali Felicia,1,5/8/15,0.598,0.432,0.172,0.106
Here with Me,Susie Suh,57,19/5/14,0.582,0.375,0.702,0.136
Dust,Hana Oceans,2,30/6/15,0.369,0.246,0.917,0.0996
Hurts So Good,Astrid S,10,20/5/16,0.681,0.594,0.0777,0.0961
Capsize,FRENSHIP,5,15/4/16,0.681,0.708,0.042,0.676
Stretch Your Eyes,Agnes Obel,43,21/10/16,0.589,0.306,0.761,0.146
Familiär,Agnes Obel,60,21/10/16,0.554,0.414,0.921,0.108
Red Virgin Soil,Agnes Obel,44,21/10/16,0.709,0.292,0.776,0.11
It's Happening Again,Agnes Obel,52,21/10/16,0.143,0.311,0.812,0.606
Stone,Agnes Obel,45,21/10/16,0.613,0.275,0.982,0.097
Trojan Horses,Agnes Obel,37,21/10/16,0.494,0.443,0.926,0.102
Citizen of Glass,Agnes Obel,42,21/10/16,0.42,0.111,0.977,0.105
Golden Green,Agnes Obel,38,21/10/16,0.668,0.394,0.978,0.112
Grasshopper,Agnes Obel,35,21/10/16,0.734,0.0772,0.846,0.0905
Mary,Agnes Obel,42,21/10/16,0.486,0.183,0.992,0.0886
The End,Daughter,40,14/10/16,0.463,0.688,0.873,0.0666
Lovesick,BANKS,1,30/9/16,0.485,0.463,0.549,0.116
Haunt,BANKS,0,30/9/16,0.443,0.608,0.257,0.13
Gemini Feed,BANKS,3,30/9/16,0.768,0.653,0.194,0.14
Fuck With Myself,BANKS,1,30/9/16,0.847,0.373,0.0373,0.0874
Mind Games,BANKS,0,30/9/16,0.331,0.34,0.639,0.11
Trainwreck,BANKS,0,30/9/16,0.6,0.815,0.0247,0.722
This Is Not About Us,BANKS,0,30/9/16,0.691,0.841,0.0275,0.232
Weaker Girl,BANKS,0,30/9/16,0.26,0.432,0.171,0.239
Mother Earth,BANKS,0,30/9/16,0.199,0.347,0.127,0.123
Judas,BANKS,0,30/9/16,0.659,0.529,0.0242,0.142
Poltergeist,BANKS,0,30/9/16,0.542,0.371,0.73,0.116
To The Hilt,BANKS,0,30/9/16,0.31,0.101,0.953,0.0955
27 Hours,BANKS,0,30/9/16,0.471,0.592,0.0345,0.207
True Colours,Tom Odell,63,30/9/16,0.518,0.126,0.942,0.105
Rhythm & Blues,The Head and the Heart,0,26/8/16,0.433,0.863,0.00148,0.351
Safe Dream,Tep No,39,2/9/15,0.528,0.427,0.826,0.122
A Minute to Breathe,Trent Reznor and Atticus Ross,33,28/10/16,0.481,0.0533,0.953,0.0948
Find Me,Sigma,4,4/11/16,0.572,0.797,0.064,0.105
On Hold,The xx,7,10/11/16,0.725,0.669,0.0571,0.107
Empty Streets,Kota Banks,2,7/10/16,0.657,0.633,0.0222,0.13
Miss You,Gabrielle Aplin,0,9/11/16,0.577,0.761,0.188,0.103
Dog Years,Maggie Rogers,0,3/11/16,0.641,0.572,0.231,0.104
Sorry,Aquilo,5,11/11/16,0.32,0.295,0.691,0.129
Tunnels,MS MR,26,24/7/15,0.688,0.749,0.00419,0.044
Caged,Charlene Soraia,0,11/9/15,0.503,0.713,0.0791,0.215
Speeding,Lights,33,19/9/14,0.584,0.756,0.138,0.173
Still In Love With You,Norma Jean Martine,0,25/11/16,0.578,0.857,0.294,0.1
Swallow Your Pride,Rhys,45,25/11/16,0.6,0.191,0.875,0.112
Save Me,Majik,0,23/9/15,0.484,0.601,0.873,0.159
Detune,Kaleida,0,3/11/15,0.739,0.407,0.509,0.116
Sierra Lift,Blue Hawaii,24,5/3/13,0.781,0.423,0.239,0.104
Make Me (Cry),Noah Cyrus,69,15/11/16,0.588,0.471,0.592,0.0733
Verdammte Schei*e,Giulia Becker,25,1/12/16,0.578,0.743,0.672,0.118
Seventeen,Sjowgren,12,11/6/15,0.58,0.665,0.264,0.0695
"The Climb, the Fall",Luke Thompson,43,9/4/15,0.707,0.567,0.0301,0.114
Let It All Go,Birdy,66,6/8/15,0.383,0.43,0.817,0.0869
Wolf,Skott,0,27/7/16,0.582,0.563,0.228,0.0714
Falling Short,Låpsley,53,4/3/16,0.689,0.403,0.752,0.12
Little Lover,Nick Broadhurst,1,12/11/15,0.552,0.279,0.697,0.0985
Do You Remember,Jarryd James,5,3/9/15,0.65,0.333,0.2,0.125
The Weight,Mavrick,0,31/8/16,0.384,0.577,0.267,0.0761
emotion,lovelytheband,35,22/9/17,0.673,0.774,0.00828,0.0649
I Know,Bayonne,0,26/10/17,0.706,0.687,0.826,0.177
Magic,Vacation Manor,0,23/4/16,0.565,0.772,0.111,0.155
One In A Million,Apollo LTD,0,25/8/17,0.612,0.822,3.53E-04,0.0914
Sugar,Fickle Friends,0,15/8/17,0.681,0.743,0.00249,0.303
Glue,Fickle Friends,0,15/6/17,0.678,0.807,0.243,0.15
Outa My Head 01101110,Roy English,24,2/6/17,0.656,0.731,0.00642,0.116
Avalon,KYOTI,8,22/11/17,0.637,0.858,0.378,0.242
Love Like Mine,Miami Horror,0,7/4/15,0.663,0.938,0.0604,0.0442
When It Was Now,Atlas Genius,25,19/2/13,0.662,0.917,0.00811,0.0704
My Shadow,Clubfeet,0,2/9/13,0.613,0.742,0.0359,0.118
Tease,Ralph,35,15/2/17,0.68,0.804,0.155,0.275
Something More,Ralph,34,3/8/16,0.645,0.684,0.0151,0.104
love somebody like you,joan,58,25/7/17,0.577,0.854,0.0596,0.205
Breaks,Goldroom,0,23/9/16,0.573,0.733,0.0106,0.121
Supernatural,Apollo LTD,0,9/3/18,0.619,0.94,0.00107,0.0805
Ride Or Die (feat. Foster The People),The Knocks,62,9/3/18,0.648,0.75,0.0609,0.104
Stuck,The Aces,36,17/5/16,0.721,0.746,0.0114,0.0844
Get Me Off,Crush Club,12,9/9/16,0.821,0.885,0.0014,0.19
Got My Love (feat. Lyon Hart),Sam Padrul,35,2/1/17,0.695,0.809,0.0645,0.0531
Touch,Great Good Fine Ok,30,13/7/18,0.701,0.7,0.36,0.165
take me on,joan,9,24/1/17,0.592,0.693,0.397,0.242
Fading,Vacation Manor,3,29/9/17,0.496,0.79,4.48E-04,0.316
Howlin' For You,The Black Keys,59,18/5/10,0.708,0.737,0.0299,0.101
Goodbyes (feat. Method Man),The Knocks,40,17/8/18,0.701,0.766,0.00989,0.346
Weather,Ralph,31,22/8/18,0.781,0.578,0.118,0.129
Man That I Used To Know,Apollo LTD,0,9/3/18,0.642,0.887,4.04E-04,0.111
Thru These Tears,LANY,8,17/7/18,0.711,0.517,0.154,0.149
Easy,Great Good Fine Ok,32,12/10/18,0.847,0.703,0.355,0.0938
Dive In,kwassa,0,3/3/17,0.708,0.78,0.248,0.107
Skylines,Glades,16,14/10/16,0.628,0.84,0.00883,0.14
Broken Sleep,Fickle Friends,28,6/9/18,0.664,0.859,0.0344,0.1
Beat Of My Drum,POWERS,51,16/10/15,0.777,0.898,0.0661,0.0926
We Won't Go Home,The Colourist,29,1/1/13,0.52,0.926,0.00294,0.245
Sky,XY&O,18,15/9/17,0.723,0.817,0.114,0.0941
Don't Call,Lost Kings,49,8/12/17,0.703,0.574,0.0152,0.038
Love Like We Used To,Captain Cuts,42,13/10/16,0.701,0.837,0.021,0.927
Echo,Foreign Air,45,26/8/16,0.619,0.805,0.0223,0.0838
Narcissist (feat. The 1975),No Rome,68,28/8/18,0.543,0.682,0.219,0.085
Make It Up,Shura,44,8/7/16,0.675,0.745,0.187,0.115
Love Like Waves,Friendly Fires,46,5/4/18,0.647,0.86,0.0133,0.136
Night Drive,Gorgon City,43,10/8/18,0.689,0.692,0.233,0.114
Lose My Mind (feat. Mr Gabriel),Jai Wolf,30,14/1/19,0.606,0.775,0.0086,0.305
Can't Be Alone Tonight,Atlas Genius,46,18/1/19,0.559,0.833,0.044,0.349
home ft. WALK THE MOON,morgxn,56,21/9/18,0.665,0.709,0.0371,0.323
Primadonna,Skogsrå,34,22/12/13,0.577,0.879,0.561,0.0883
Even When The Water's Cold,!!!,52,2013,0.709,0.831,0.108,0.159
Takes A Little Time,Zac Samuel,38,24/3/17,0.681,0.783,0.132,0.156
I Remember,Betty Who,37,10/1/19,0.779,0.739,0.259,0.125
Wasted Thunder,Hotel Apache,26,22/9/17,0.763,0.925,0.0123,0.0857
Thick And Thin,LANY,5,12/9/18,0.686,0.564,0.0599,0.0914
Like It Or Not (feat. joan) (feat. joan),EMBRZ,36,8/6/18,0.636,0.648,0.0882,0.0876
drive all night,joan,50,1/2/19,0.542,0.758,1.84E-04,0.144
Atypical,Manila Killa,35,22/2/19,0.751,0.775,0.174,0.143
Meant To Be,Robotaki,24,1/3/19,0.668,0.653,0.0123,0.269
Chasing Fire,Lauv,62,29/3/18,0.709,0.562,0.0449,0.217
Hurry Up,Annie Lux,33,16/11/18,0.757,0.587,0.604,0.0935
get behind this,flor,46,21/12/18,0.459,0.88,4.25E-04,0.108
If You See Her,LANY,63,5/10/18,0.635,0.679,0.0375,0.0954
Good Girls,LANY,62,30/6/17,0.708,0.687,0.0022,0.133
Gold,Apollo LTD,0,24/8/18,0.527,0.74,0.0165,0.121
Her (Loving You),Glades,35,7/10/15,0.403,0.86,0.0542,0.13
Silent Treatment,Pelicandy,9,20/3/19,0.63,0.656,0.109,0.258
The Outside Looking In,The Peach Fuzz,41,12/4/19,0.441,0.88,5.57E-05,0.382
Pig Latin,Havelock,33,27/3/19,0.768,0.406,0.49,0.105
Right Side of My Neck,Faye Webster,27,2/5/19,0.716,0.516,0.00107,0.331
About Work The Dancefloor - Edit,Georgia,24,28/3/19,0.633,0.832,0.0134,0.116
Get Weird,Liimo,20,29/3/19,0.633,0.844,0.0684,0.191
White Sky,Pelicandy,14,23/5/19,0.702,0.626,0.0178,0.15
Animals,Pelicandy,10,30/5/17,0.651,0.796,9.24E-04,0.141
Gimme,Ralph,36,28/9/18,0.841,0.468,0.271,0.0577
Lovin' is Bible,The Aces,28,6/4/18,0.68,0.871,0.139,0.0925
stop and stare,joan,47,11/7/18,0.58,0.746,0.00948,0.11
Last to Know,Roosevelt,21,28/9/18,0.608,0.883,0.0619,0.152
Lighthouse,Sam Padrul,26,22/12/18,0.684,0.868,0.173,0.0695
It's Not Living (If It's Not With You),The 1975,8,18/10/18,0.618,0.837,2.54E-04,0.0618
Bite,Fickle Friends,34,16/3/18,0.691,0.875,0.0275,0.0891
Line by Line,PREP,56,9/11/18,0.827,0.491,0.0579,0.292
Cheapest Flight,PREP,59,1/1/16,0.676,0.654,0.292,0.137
Don't Look Back,PREP,47,26/10/18,0.736,0.421,0.396,0.0875
The Sound,The 1975,65,26/2/16,0.648,0.936,0.085,0.482
Imagination,Foster The People,73,21/6/19,0.744,0.642,0.115,0.279
Can I Call You Tonight?,Dayglow,25,28/9/18,0.641,0.842,0.132,0.419
Can't Help the Way,Foley,40,28/6/19,0.745,0.632,0.427,0.111
Strangers,Bad Actor,33,1/6/19,0.682,0.79,0.0533,0.251
Karma,Years & Years,55,14/2/19,0.79,0.506,0.146,0.0876
Lovesick,Fickle Friends,35,16/3/18,0.768,0.814,0.0289,0.0654
Hello Hello,Fickle Friends,40,16/3/18,0.63,0.889,0.0883,0.107
Forever,CHVRCHES,38,25/5/18,0.434,0.768,6.31E-04,0.276
Do It Again,No Rome,46,24/5/18,0.671,0.388,0.041,0.108
Everything Is Embarrassing,Sky Ferreira,49,1/1/13,0.667,0.783,0.0606,0.0418
Life Is Good (feat. Drake),Future,93,10/1/20,0.676,0.609,0.0706,0.152
The Box,Roddy Ricch,98,6/12/19,0.896,0.586,0.104,0.79
I Can See,Mac Miller,73,17/1/20,0.699,0.503,0.391,0.0996
Futsal Shuffle 2020,Lil Uzi Vert,91,12/12/19,0.881,0.457,0.0327,0.231
Godzilla (feat. Juice WRLD),Eminem,79,17/1/20,0.808,0.745,0.145,0.292
Sum 2 Prove,Lil Baby,81,10/1/20,0.823,0.552,0.0174,0.122
Money Talk,Rich The Kid,64,17/1/20,0.804,0.641,0.0313,0.148
BOP,DaBaby,93,27/9/19,0.769,0.787,0.189,0.129
First Place,Polo G,60,17/1/20,0.656,0.566,0.0125,0.0655
No Regrets (feat. Don Toliver),Eminem,71,17/1/20,0.756,0.747,0.0048,0.588
Suicidal,YNW Melly,90,22/11/19,0.736,0.369,0.334,0.126
OUT WEST (feat. Young Thug),JACKBOYS,87,27/12/19,0.802,0.591,0.0104,0.196
TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,86,27/9/19,0.816,0.582,0.0794,0.0916
Dead Man Walking (feat. Future),2 Chainz,63,17/1/20,0.848,0.699,0.0401,0.148
Woah,Lil Baby,88,8/11/19,0.882,0.602,0.0177,0.178
Bandit (with YoungBoy Never Broke Again),Juice WRLD,92,4/10/19,0.474,0.631,0.0687,0.132
How I Move (feat. Lil Baby),Flipp Dinero,80,15/11/19,0.826,0.635,0.102,0.245
Peta (feat. Meek Mill),Roddy Ricch,84,6/12/19,0.778,0.573,0.015,0.464
Death (feat. DaBaby),Trippie Redd,82,12/11/19,0.802,0.82,0.0579,0.149
Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,86,1/11/19,0.845,0.631,0.188,0.0806
ORANGE SODA,Baby Keem,83,19/7/19,0.83,0.564,0.177,0.128
High Fashion (feat. Mustard),Roddy Ricch,83,6/12/19,0.831,0.499,0.269,0.3
VIBEZ,DaBaby,88,27/9/19,0.768,0.652,0.113,0.107
Hop Off A Jet (feat. Travis Scott),Young Thug,82,20/12/19,0.823,0.476,0.0115,0.213
UP THE SMOKE (with Offset),Stunna 4 Vegas,81,8/11/19,0.907,0.765,0.0512,0.153
Red Light,Tee Grizzley,56,17/1/20,0.846,0.716,0.00101,0.244
No Idea,Don Toliver,92,29/5/19,0.656,0.614,0.558,0.215
Somebody,Internet Money,83,11/10/19,0.63,0.671,0.363,0.113
